inn;name;revenue;nace_code;description;has_cat;confidence;evidence;product;source;date
256999825;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВЕРС - ЭЛЕКТРОННЫЕ ДОКУМЕНТЫ""";127048000;63.11;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:47
268027020;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОПРОМСЕРВИС""";182559008;62.09;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:58
273925407;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАТИВНЫЕ КОММУНИКАЦИИ""";205012000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 02:58
274139879;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АВТОМАТИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ""";442195008;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:58
274191484;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЫСОКИЕ ТЕХНОЛОГИИ""";216364000;63.11;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 02:58
274931428;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАЛЬ""";116236000;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 02:59
274939441;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ ПРОФИТ""";111660000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:59
274971438;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИДЖИТАЛ ИНЖИНИРИНГ ТЕХНОЛОДЖИ""";175787008;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:59
274980707;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАШ ВИАР""";253050000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 02:59
275076580;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНЕРДЖИ СОФТ""";270478016;62.09;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:59
