tax_number,year,registration_number,is_sole_trader,sme_category,org_name,org_short_name,main_nace_code,region_iso_code,region_code,region,area,settlement,settlement_type,municipality_code,lat,lon,start_date,end_date,revenue,expenditure,employees_count
100003580,2024,1220100003067,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ДОРОЖНОЙ БЕЗОПАСНОСТИ""","ООО ""СТДБ""",63.11,RU-AD,1.0,Республика Адыгея,,Майкоп,г,79701000001.0,44.609795,40.10056,2023-01-10,2024-07-10,190432992.0,178990000.0,7.0
100003580,2024,1220100003067,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ДОРОЖНОЙ БЕЗОПАСНОСТИ""","ООО ""СТДБ""",63.11,RU-AD,1.0,Республика Адыгея,,Майкоп,г,79701000001.0,44.609795,40.10056,2024-07-10,2025-06-10,190432992.0,178990000.0,7.0
256999825,2024,1220200025187,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВЕРС - ЭЛЕКТРОННЫЕ ДОКУМЕНТЫ""","ООО ""АВЕРС - ЭЛЕКТРОННЫЕ ДОКУМЕНТЫ""",63.11,RU-BA,2.0,Республика Башкортостан,Белорецкий район,Белорецк,г,80611101001.0,53.96762,58.410023,2022-08-10,2025-04-10,127048000.0,15059000.0,1.0
257010314,2024,1130280004018,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ГЕОПРОМИНЖИНИРИНГ""","ООО НПП ""ГЕОПРОМИНЖИНИРИНГ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-11-10,2025-06-10,361179008.0,340568000.0,30.0
264073040,2024,1160280106800,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУГАЙ""","ООО ""ТУГАЙ""",62.01,RU-BA,2.0,Республика Башкортостан,,Нефтекамск,г,80727000001.0,56.0884,54.248253,2022-07-10,2025-06-10,107487000.0,42194000.0,33.0
265036274,2024,1110265001263,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОПТИМАКС""","ООО ""ПРОПТИМАКС""",62.09,RU-BA,2.0,Республика Башкортостан,Туймазинский район,Туймазы,г,80651101001.0,54.599987,53.69498,2020-04-10,2025-06-10,115452000.0,126530000.0,13.0
268027020,2024,1020202085254,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОПРОМСЕРВИС""","ООО ""ЭНЕРГОПРОМСЕРВИС""",62.09,RU-BA,2.0,Республика Башкортостан,,Стерлитамак,г,80745000001.0,53.630154,55.931633,2024-03-10,2025-06-10,182559008.0,154947008.0,34.0
272020010,2024,1110280049362,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ЭНИГМА УФА""","ООО ""ИТ ЭНИГМА УФА""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-07-10,2025-06-10,266594000.0,227403008.0,41.0
272916752,2024,1200200048234,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТАС""","ООО ""ИНТАС""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2020-09-10,2024-07-10,368983008.0,279593984.0,89.0
272916752,2024,1200200048234,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТАС""","ООО ""ИНТАС""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2024-07-10,2025-06-10,368983008.0,279593984.0,89.0
273021786,2024,1020202391494,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕКСЕМА""","ООО ""ЛЕКСЕМА""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2020-02-10,2025-06-10,162210000.0,161975008.0,85.0
273086991,2024,1120280022939,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАСИСТЕМС""","ООО ""НОВАСИСТЕМС""",62.0,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2020-08-10,2025-06-10,410923008.0,362284992.0,12.0
273925407,2024,1190280011448,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАТИВНЫЕ КОММУНИКАЦИИ""","ООО ""КК""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2019-03-10,2024-07-10,205012000.0,204798000.0,46.0
273925407,2024,1190280011448,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАТИВНЫЕ КОММУНИКАЦИИ""","ООО ""КК""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2024-07-10,2025-06-10,205012000.0,204798000.0,46.0
273946855,2024,1230200010050,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМТРАНС ПЛЮС""","ООО ""КОМТРАНС ПЛЮС""",63.99,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-04-10,2024-06-10,102697000.0,101218000.0,3.0
274119079,2024,1070274003711,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТАС-КОМПАНИ""","ООО ""ИНТАС-КОМПАНИ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,254664992.0,229496992.0,38.0
274125308,2024,1080274000487,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОДЕРЛАЙН СОФТ-ПОРТАЛ""","ООО ""КОДЕРЛАЙН СОФТ-ПОРТАЛ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-04-10,2025-06-10,165836000.0,150656992.0,56.0
274139068,2024,1090280018047,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИ ПЕРСОНАЛ""","ООО ""АЙТИ ПЕРСОНАЛ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,142272992.0,140184992.0,18.0
274139879,2024,1090280022348,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АВТОМАТИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ""","ООО НПП ""АТП""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2024-06-10,442195008.0,181159008.0,7.0
274139879,2024,1090280022348,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АВТОМАТИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ""","ООО НПП ""АТП""",62.01,RU-MOW,77.0,Москва,,Москва,г,45000000.0,55.75396,37.62039,2024-06-10,2025-06-10,442195008.0,181159008.0,7.0
274141518,2024,1090280030444,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМЗАЩИТА""","ООО ""ИНФОРМЗАЩИТА""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,151364992.0,124100000.0,12.0
274158790,2024,1110280039297,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФРОДЕКС""","ООО ""ФРОДЕКС""",62.0,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2024-07-10,214402000.0,139624000.0,36.0
274158790,2024,1110280039297,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФРОДЕКС""","ООО ""ФРОДЕКС""",62.0,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2024-07-10,2025-06-10,214402000.0,139624000.0,36.0
274166343,2024,1120280022345,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЭСТ""","ООО ""РЭСТ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-05-10,2025-06-10,119164000.0,101159000.0,15.0
274172918,2024,1130280004931,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕЗОЛ-МЕНЕДЖМЕНТ""","ООО ""КРЕЗОЛ-МЕНЕДЖМЕНТ""",63.99.1,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2024-01-10,2025-06-10,138727008.0,138602000.0,87.0
274187858,2024,1140280034620,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НГП ИНФОРМ""","ООО ""НГП ИНФОРМ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,261192000.0,157778000.0,50.0
274191043,2024,1140280060788,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГО АУДИТ""","ООО ""ЭНЕРГО АУДИТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-07-10,2025-06-10,263559008.0,122675000.0,53.0
274191220,2024,1140280062383,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСУ-ИНЖИНИРИНГ""","ООО ""АСУ-ИНЖИНИРИНГ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-11-10,2025-06-10,254240992.0,219791008.0,85.0
274191484,2024,1140280064330,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЫСОКИЕ ТЕХНОЛОГИИ""","ООО ""ВТ""",63.11,RU-MOW,77.0,Москва,,Москва,г,45000000.0,55.75396,37.62039,2021-07-10,2025-06-10,216364000.0,195255008.0,39.0
274192696,2024,1140280074000,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-УФА""","ООО ""ИСКРА-УФА""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2019-08-10,2024-12-10,171968992.0,169312992.0,18.0
274192696,2024,1140280074000,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-УФА""","ООО ""ИСКРА-УФА""",62.01,RU-BA,2.0,Республика Башкортостан,Уфимский район,Зубово,с,80652420101.0,54.617947,55.90744,2024-12-10,2025-06-10,171968992.0,169312992.0,18.0
274922889,2024,1160280137820,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНЫЙ ПРОЕКТНЫЙ ЦЕНТР ""ВИРТЭК""","ООО НПЦ ""ВИРТЭК""",62.03,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2020-02-10,2025-06-10,128552000.0,74967000.0,40.0
274931428,2024,1170280068375,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАЛЬ""","ООО ""АВАЛЬ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-12-10,2025-06-10,116236000.0,43896000.0,1.0
274939441,2024,1180280044691,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ ПРОФИТ""","ООО ""КОРПОРАЦИЯ ПРОФИТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2018-08-10,2025-06-10,111660000.0,82903000.0,30.0
274945082,2024,1190280019478,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМОЛЕТ ПЛЮС АГЕНТ""","ООО ""САМОЛЕТ ПЛЮС АГЕНТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-09-10,2025-06-10,113774000.0,121625000.0,48.0
274964159,2024,1210200012593,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЛАКО 365""","ООО ""ОБЛАКО 365""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2021-04-10,2025-06-10,116967000.0,88815000.0,56.0
