inn,name,revenue,employees,nace_code,region,registration_date
100003580,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ДОРОЖНОЙ БЕЗОПАСНОСТИ""",190432992.0,7.0,63.11,Республика Адыгея,2023-01-10
100003580,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ДОРОЖНОЙ БЕЗОПАСНОСТИ""",190432992.0,7.0,63.11,Республика Адыгея,2024-07-10
256999825,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВЕРС - ЭЛЕКТРОННЫЕ ДОКУМЕНТЫ""",127048000.0,1.0,63.11,Республика Башкортостан,2022-08-10
257010314,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ГЕОПРОМИНЖИНИРИНГ""",361179008.0,30.0,62.09,Республика Башкортостан,2022-11-10
264073040,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУГАЙ""",107487000.0,33.0,62.01,Республика Башкортостан,2022-07-10
265036274,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОПТИМАКС""",115452000.0,13.0,62.09,Республика Башкортостан,2020-04-10
268027020,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОПРОМСЕРВИС""",182559008.0,34.0,62.09,Республика Башкортостан,2024-03-10
272020010,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ЭНИГМА УФА""",266594000.0,41.0,62.09,Республика Башкортостан,2022-07-10
272916752,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТАС""",368983008.0,89.0,62.01,Республика Башкортостан,2020-09-10
272916752,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТАС""",368983008.0,89.0,62.01,Республика Башкортостан,2024-07-10
273021786,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕКСЕМА""",162210000.0,85.0,62.01,Республика Башкортостан,2020-02-10
